Nf,Win,Bin,Din,Wout,Bout
0,0.2,0.7,0.0,"[0.5656708336531087, 0.4714877204586531, 0.5520955342940774, 0.5418758387528991, 0.5872327678732022, 0.5735471990751193, 0.6217989436529212, 0.6079880526678765, 0.5414478685319142, 0.5137560883680655]","[0.4344753671782862, 0.3789416438709645, 0.4712263632233393, 0.4431440029647641, 0.5251748528970281, 0.4256474294523436, 0.5076734361504467, 0.5497805358872844, 0.42076946849758456, 0.42032001425808624]"
0,0.2,0.9,0.0,"[0.5953859340974001, 0.6016360618549648, 0.5042919132305604, 0.5974374475059283, 0.5086946449070671, 0.5306161242759015, 0.5093443653747521, 0.5351097127452529, 0.5989596098308819, 0.5068931883253968]","[0.5347811748666347, 0.5543799820129138, 0.4501013878456666, 0.5653862379562453, 0.4908256013044225, 0.5002234186277575, 0.4491205207056792, 0.5109240610830259, 0.5714294834096327, 0.45090188602372994]"
0,0.25,0.1,0.0,"[0.6110013253548336, 0.51430598158946, 0.5459995893331067, 0.6074442332490704, 0.5967682472486375, 0.5708319434068452, 0.5613826186106775, 0.5862579787595535, 0.5963154898094876, 0.6008339118278327]","[0.239283245967171, 0.21161352618085857, 0.1403871428193025, 0.13828932755263562, 0.3137283618813197, 0.21754150875795145, 0.24090602499134878, 0.22616666155848325, 0.2381932658414486, 0.19778491159066455]"
0,0.25,0.3,0.0,"[0.5652241826789773, 0.5669317916080547, 0.5430781998212846, 0.6220979027182335, 0.5189884569579937, 0.6360059013254411, 0.575336977100088, 0.5619521962281002, 0.534006749082077, 0.4747508444898437]","[0.24073559194747896, 0.22096372879674528, 0.18544618598983775, 0.2843159726580926, 0.24225115855870646, 0.32592871458875644, 0.2736309735344854, 0.2191575591399732, 0.2867070475087853, 0.205145863321345]"
0,0.25,0.5,0.0,"[0.616247050455776, 0.620068002919647, 0.5952230470426779, 0.6073545460228882, 0.5295854703907479, 0.693874493164915, 0.6203745392398408, 0.6018241630117496, 0.5624446791763744, 0.6385976210632446]","[0.42834475728086374, 0.4496414471601642, 0.4243392983061513, 0.3855099014569228, 0.3350880109877547, 0.4299646781730937, 0.3712006114175022, 0.3064956639976707, 0.42430613178968957, 0.4020774893132425]"
0,0.25,0.7,0.0,"[0.5774837981865604, 0.600690127285324, 0.5876854883888906, 0.6475365587718491, 0.625287407196171, 0.5458803144492465, 0.5836310658615997, 0.6216780291520592, 0.5844991316646665, 0.6287029241950959]","[0.4715280494129769, 0.5186041846985451, 0.508032609845855, 0.5220634770543041, 0.49202370140776663, 0.3734371017426836, 0.4851889348537023, 0.4612404084445795, 0.42199761652030665, 0.5297417991259834]"
0,0.25,0.9,0.0,"[0.5985942350374667, 0.592904067555803, 0.5644005964922083, 0.4790668089353135, 0.681439169241463, 0.551412267235717, 0.5646471039566765, 0.5996014959595153, 0.6849271827524129, 0.5742512972923293]","[0.5391355594880165, 0.5250392738655494, 0.5388339502402222, 0.453743673851427, 0.6421893063494188, 0.46389049512808517, 0.4777000550855205, 0.5545466840386724, 0.6704219798984558, 0.5539131054671216]"
0,0.3,0.1,0.0,"[0.6599830885249889, 0.6856140298695517, 0.6587693734623759, 0.6333204319159981, 0.5870372357266944, 0.6563065067084164, 0.5830329336522531, 0.6523856063585411, 0.60739352327346, 0.5752138212846922]","[0.22133453375324708, 0.22557491968836776, 0.2800658824408443, 0.32877536976552607, 0.2034733443833189, 0.23001296196988794, 0.1392229935223812, 0.24248512216025148, 0.2786011489231953, 0.19002318111530936]"
0,0.3,0.3,0.0,"[0.5747226413277674, 0.6465888420594637, 0.6570350150153954, 0.6738845520071799, 0.568996812342636, 0.6503889514035244, 0.6844925037654537, 0.5587732337316358, 0.6794114998898947, 0.604800147620906]","[0.24547080211403305, 0.2694328722062075, 0.35059696150820824, 0.3385693632435106, 0.27082764187145436, 0.2551131155286579, 0.4030895767909083, 0.22180083511070398, 0.3080919124800121, 0.28543471054936537]"
0,0.3,0.5,0.0,"[0.6138489594405871, 0.6247692663771274, 0.614170995066028, 0.5237247258876836, 0.6378845624787486, 0.6876986357891546, 0.6626182036912454, 0.5779531662844876, 0.6661872210859293, 0.5586876103248835]","[0.4047224430677736, 0.42648523917426384, 0.428748254694332, 0.35075065666838384, 0.3194872180341213, 0.42081944741026805, 0.4177039844412075, 0.3430210071560451, 0.40074187707665043, 0.27884621989822955]"
0,0.3,0.7,0.0,"[0.676740088251425, 0.6338157179074393, 0.6705906830667698, 0.6502993827084826, 0.6565307315217507, 0.6399493791805584, 0.6466238452568127, 0.6546782764363575, 0.6505879218232145, 0.6763920330068001]","[0.5814269225084094, 0.41126109245017534, 0.5069332204201589, 0.5260772135841224, 0.5192973638938777, 0.553986008974839, 0.4975625647909814, 0.5207987089663678, 0.5085152029162779, 0.6111286750351983]"
0,0.3,0.9,0.0,"[0.5716444449617921, 0.5822085838757435, 0.5648954791221386, 0.59415922219512, 0.6596183610611075, 0.6968392665018431, 0.6349644910498767, 0.6556703500076794, 0.6415468266527877, 0.5763064680222614]","[0.5428025264000235, 0.5492000486483082, 0.5300444792315925, 0.5407041974422031, 0.6278161867148604, 0.6635410651318103, 0.6009272447162514, 0.6018484115900173, 0.6060042783746395, 0.5208561575241428]"
0,0.35,0.1,0.0,"[0.5897324055942457, 0.7216034294572513, 0.6778499490544408, 0.634467640377619, 0.68428630652728, 0.636750887460465, 0.5771026391575091, 0.5979701441181704, 0.6565921648506657, 0.6552723283825417]","[0.08800571762156058, 0.27041898431576394, 0.3245689345731095, 0.20948566402840701, 0.2492167130172068, 0.23793359667411135, 0.07939240396083155, 0.14898974544608024, 0.09990365230375348, 0.21154344813066067]"
0,0.35,0.3,0.0,"[0.6677132111740289, 0.6698646053059655, 0.6419996249198102, 0.594876846534373, 0.6567428800834281, 0.7114033697112916, 0.6562402360698256, 0.6419544037708413, 0.6752090581628828, 0.6299262003494367]","[0.2688204908276543, 0.21453633836352162, 0.25981360192338865, 0.2076699917069523, 0.2876847113595969, 0.48540314512122995, 0.34853459283566474, 0.26839057295163926, 0.33772453242997463, 0.3216149688383954]"
0,0.35,0.5,0.0,"[0.6014347825627921, 0.7189950848677498, 0.6054869681837318, 0.6874381144195048, 0.6567531847025478, 0.6534547154911772, 0.6509166046172424, 0.6242711510982969, 0.6944105577272164, 0.6506797122995679]","[0.28199865472103797, 0.4872175854458633, 0.3056041665247464, 0.45971903961754734, 0.4346217973588595, 0.41934359318087705, 0.44861499888378714, 0.4048430758093261, 0.3985639494657939, 0.3522103339162586]"
0,0.35,0.7,0.0,"[0.6955166974096234, 0.7032775682732291, 0.6525123974687739, 0.6649902122124944, 0.6212924620332403, 0.6780142005850767, 0.6297920760791019, 0.7011022729307199, 0.6601220455606166, 0.6590526152176068]","[0.5428441371882459, 0.4987998213027735, 0.4580834378582462, 0.5140756899697888, 0.513093252647177, 0.5531925017025255, 0.4884172810133672, 0.5306403581321183, 0.493990712522006, 0.5355548134088165]"
0,0.35,0.9,0.0,"[0.6387232008587912, 0.6981402004444499, 0.6892071254533156, 0.6421716592279453, 0.670736658983737, 0.659705559069258, 0.7130188771701113, 0.675568350924469, 0.7376350440487998, 0.6629515035683724]","[0.5988242565501443, 0.6597809765968128, 0.6379535874220823, 0.5869539951624271, 0.6405495602376945, 0.6308119726613305, 0.6633406501252332, 0.6016638955429888, 0.6711062710236513, 0.5935501817157721]"
0,0.4,0.1,0.0,"[0.6156291884686957, 0.7286482183817735, 0.6697785968863843, 0.6341643166575692, 0.6789502558806175, 0.671376200350318, 0.721565274147118, 0.7336451418858506, 0.6769258850024281, 0.6909960655854457]","[0.16076152825087472, 0.23628369394966428, 0.13118100214749054, 0.14029711534773245, 0.2939459666168242, 0.19618274507993755, 0.22113056432543815, 0.2784450391138095, 0.19208155025766954, 0.2738071401025544]"
0,0.4,0.3,0.0,"[0.717084583310589, 0.7438455251311655, 0.7093183043952485, 0.6981438636455941, 0.6884551495264453, 0.6852866390496837, 0.7117769835657155, 0.6506654096562399, 0.6758215105287011, 0.6942203761061627]","[0.40301522540020845, 0.36876856691219817, 0.37915630248781323, 0.336991582477143, 0.3324309897638903, 0.4586737880663835, 0.3034175659990443, 0.3379084712607625, 0.24634026862305697, 0.3633574425890056]"
0,0.4,0.5,0.0,"[0.6796800252518695, 0.6971204517418094, 0.696313990755221, 0.6289511189983092, 0.6659285887510344, 0.7011588559720539, 0.7307513094180235, 0.6927486455678273, 0.680596844698701, 0.6699210350403035]","[0.46380595074086867, 0.4126865071785225, 0.36339555569629123, 0.3662994511520222, 0.44926135152521807, 0.4343196245990447, 0.4035029188406713, 0.35488506818559484, 0.3248890000885224, 0.34401993116327845]"
0,0.4,0.7,0.0,"[0.6936258763636396, 0.7030368585982272, 0.7210430137612425, 0.6881863048397894, 0.6662387278951405, 0.6417662832538735, 0.7001104737114301, 0.6563322677123931, 0.6956174330644245, 0.73446779846867]","[0.4781330620460748, 0.5098662647566286, 0.5508231970611481, 0.5032899672812639, 0.5041089735338018, 0.4178457116908354, 0.5332078336530719, 0.4976581413146349, 0.49603848354195745, 0.5947957350961415]"
0,0.4,0.9,0.0,"[0.7353958885016305, 0.6965197375689407, 0.7271835720847819, 0.7594114591367553, 0.7157452854478068, 0.7537011355235306, 0.7335979520597573, 0.7307063416258406, 0.753780494125547, 0.6118180469931971]","[0.7049011848943302, 0.6717583880803586, 0.66344935308022, 0.7217541879813432, 0.648547117756191, 0.6997895835244147, 0.686925690301418, 0.6598780377670177, 0.7139602088128996, 0.5520398544113697]"
0,0.45,0.1,0.0,"[0.6992596208242343, 0.7008903753612781, 0.6672080144412553, 0.663746713670881, 0.7030550414122608, 0.7389815490391181, 0.7265209838536781, 0.700868362680271, 0.6664282607420149, 0.6495510504214722]","[0.24487892338629774, 0.22458227620176469, 0.3170411007126758, 0.2190977591867386, 0.2924730522802895, 0.2455910582670245, 0.2340551412240269, 0.1752335405693965, 0.21646162253278556, 0.19321616044887588]"
0,0.45,0.3,0.0,"[0.7145734874763533, 0.6653942809630707, 0.69789397253528, 0.7021574019645087, 0.7041803843039474, 0.6675092483218907, 0.715373515340548, 0.736047546796099, 0.7250726988428666, 0.6354374137801304]","[0.37510698780096285, 0.2783951376989632, 0.352187282721772, 0.32181096681589666, 0.32664022516619473, 0.2548375071575289, 0.3738659777215665, 0.42481582071346635, 0.29954088304384596, 0.27157843969126205]"
0,0.45,0.5,0.0,"[0.635276930672106, 0.7240478338814968, 0.7808568245770231, 0.7261101431727153, 0.6754671383942703, 0.7085284209853003, 0.6986766004777692, 0.7565135734107713, 0.7638565041669161, 0.6907259352919337]","[0.37814448424609765, 0.4395504555342088, 0.5498312727906631, 0.43104319474522806, 0.3582245922409971, 0.4670365177717466, 0.2769389040320758, 0.46211660784844044, 0.46581020155910846, 0.40377846217514185]"
0,0.45,0.7,0.0,"[0.7268893184176533, 0.6953621747070454, 0.7346012594662987, 0.7537511335099725, 0.7268216208547408, 0.6789019730126595, 0.7366251802397241, 0.7217885613205977, 0.7398250278410745, 0.6940273659789473]","[0.5390574557293915, 0.4797704384706738, 0.526939298074363, 0.5432551753104752, 0.5823222656078028, 0.48364040555436383, 0.5902564185390524, 0.5260219565036154, 0.6029489599557916, 0.5217450664164881]"
0,0.45,0.9,0.0,"[0.7279385663898936, 0.677848064653079, 0.7888458697687869, 0.7621228210173585, 0.7175785986572858, 0.7560706221241718, 0.6852545315245, 0.7752120329944989, 0.6932958542745438, 0.7704739579058255]","[0.6494038161654702, 0.5753620063409115, 0.7226939627725008, 0.703216458730696, 0.627456953628279, 0.702106932192522, 0.6316170547808442, 0.7205663056504074, 0.6326172218388975, 0.7024076053676014]"
0,0.5,0.1,0.0,"[0.7413891992882082, 0.6960075869020446, 0.7209132716810873, 0.7343181909697656, 0.7563939361691462, 0.7409610880244653, 0.7737281181989946, 0.748268737280462, 0.7226668621046652, 0.7000197177882029]","[0.29533724175457604, 0.17249786310622447, 0.21122277301113565, 0.20224924233001892, 0.3028921254552061, 0.34164837545305615, 0.42945967727078066, 0.1438314281961341, 0.2258566781430809, 0.06477276428692862]"
0,0.5,0.3,0.0,"[0.6822420045081707, 0.7750088557369852, 0.7831564079886371, 0.7268053026566427, 0.7302927270974923, 0.7651309539845861, 0.741789920498683, 0.6667456350298984, 0.700071710777414, 0.6637687155042147]","[0.21058228595161949, 0.4540478532242182, 0.36539178746916756, 0.36616919583833185, 0.17976482927620724, 0.3255717133209404, 0.4024057568211967, 0.25553688166294086, 0.32888016030216, 0.18172127662058563]"
0,0.5,0.5,0.0,"[0.7541793875580667, 0.7259467345645072, 0.7090042866184748, 0.7008155580076914, 0.7055291150042435, 0.7408715818178729, 0.7401054364710159, 0.7464145564313157, 0.7014539354007465, 0.7254655093345235]","[0.5031937734378517, 0.37726012972379586, 0.2669221671324626, 0.3664610563046472, 0.32876779636031933, 0.45055840291362853, 0.40314202228504026, 0.4516331357737792, 0.39284849669276745, 0.4377481835877434]"
0,0.5,0.7,0.0,"[0.7819764974098468, 0.7407588559242189, 0.7006151872594266, 0.689806878113608, 0.7558828766015594, 0.6940629059897954, 0.7327686289119153, 0.7121421379131796, 0.7106725966708325, 0.7552929051087987]","[0.6666529731974791, 0.5312021902917309, 0.5028990775910823, 0.46413407562688513, 0.5766931651282639, 0.5027677214845935, 0.5553528032151621, 0.4679302892596793, 0.4951412940547907, 0.6052811291022234]"
0,0.5,0.9,0.0,"[0.8058753979745454, 0.7376625016701495, 0.7654256927197508, 0.7533646934104555, 0.7854483932899037, 0.7548590579015504, 0.7737505888584484, 0.7999317889132505, 0.6971516548072995, 0.7407424876059896]","[0.766493676814752, 0.6129657069451748, 0.707153838673589, 0.7120581135543186, 0.7214325572735613, 0.6697546588440064, 0.7084307535058961, 0.7476726880273468, 0.6332631604971757, 0.6851905163644074]"
25,0.01,0.1,0.0,"[0.19049134459966807, 0.16698704086936061, 0.21613362622663052, 0.22848302536100892, 0.22303198668134794, 0.24524465692979128, 0.1924316335262095, 0.15786633273801873, 0.1899240377201981, 0.1775196964746831]","[0.21438533639369567, 0.18181838880795215, 0.21039982966791088, 0.1956370548197619, 0.210758032251693, 0.20762218817224584, 0.16922557251204015, 0.16410366092795994, 0.20054587719491224, 0.1663416320167463]"
25,0.01,0.3,0.0,"[0.28366927351642757, 0.2318713460131084, 0.17476101571572783, 0.15496329663869463, 0.23233055556715188, 0.239483044084065, 0.240403198221724, 0.17702870489730266, 0.1994389089142621, 0.24159813937374902]","[0.24026971830555874, 0.17392734945742686, 0.16576746278461083, 0.17158904158819802, 0.22063025186577567, 0.21042295713137968, 0.22708775267653455, 0.15897091982635106, 0.18922630661867385, 0.21351083232887422]"
25,0.01,0.5,0.0,"[0.1684496123985011, 0.19925949087103073, 0.22034505272197713, 0.2005437751926253, 0.24370404507025387, 0.23083878530154978, 0.18896994358688418, 0.2898442981256655, 0.2059197531915934, 0.20705548567196863]","[0.16133981663938818, 0.17555597513294807, 0.24639086274819827, 0.19805876616952275, 0.22379282880473284, 0.19864949161210757, 0.18426809250327902, 0.2680438249314007, 0.18430363308246228, 0.19662742210090145]"
25,0.01,0.7,0.0,"[0.18486150470618026, 0.16319956936708555, 0.2601939575891258, 0.24483966298018534, 0.21353032114771026, 0.2621200710683219, 0.15293453894052483, 0.19228248478247406, 0.20062201900587787, 0.1870149726419073]","[0.19173647032193725, 0.13304975123477386, 0.19150385594136818, 0.21788840027080608, 0.20353741116559937, 0.2876004346325946, 0.14599740944718897, 0.1750950736247874, 0.20408744150350144, 0.16581266854612622]"
25,0.01,0.9,0.0,"[0.1887716050363991, 0.2546813870508642, 0.17751826955835304, 0.23758178212773792, 0.21399732674436442, 0.15059553177401594, 0.1887630550021348, 0.24306346528139544, 0.2054037708611912, 0.2826208951113096]","[0.20627296854689461, 0.2640390297147756, 0.17241506624020436, 0.26135226397530426, 0.21056728186178253, 0.14018184284065624, 0.1835303197856137, 0.24924742404416866, 0.20907799636248942, 0.29158778989981]"
25,0.05,0.1,0.0,"[0.3098578281268111, 0.24682593164800926, 0.3543992218105232, 0.31799941264447706, 0.3426193409874569, 0.38818409003730625, 0.3316894398875104, 0.2587757800117547, 0.2997073787336119, 0.2931826104450833]","[0.2345999524012611, 0.15726212832703793, 0.24087204056139533, 0.23702309064703675, 0.2268148879365865, 0.2502999275931327, 0.22429169010467023, 0.16606921241743394, 0.17993473101709695, 0.183988358360931]"
25,0.05,0.3,0.0,"[0.3185732651908819, 0.2757992407310752, 0.32560594658515385, 0.3282443379674349, 0.2888185018979176, 0.3499080857205004, 0.3808587215463418, 0.3336823671381003, 0.25282950137416416, 0.2733564645204916]","[0.23539226155284662, 0.1948896572165848, 0.2373927859289282, 0.2780093318604558, 0.20440720694563908, 0.23069021118181343, 0.2920563503789464, 0.2404771600745809, 0.21963596281316383, 0.2339963902890018]"
25,0.05,0.5,0.0,"[0.30952170606882473, 0.2644778515091695, 0.3500838089530759, 0.3025616872388587, 0.33890966109394444, 0.2866347102711846, 0.3126954990152233, 0.287435601326287, 0.2788211083971558, 0.30330991792105727]","[0.29689947106594744, 0.20983491198578355, 0.3022471471358727, 0.2542657948455602, 0.2672158977275467, 0.24188250388224874, 0.22193011486862155, 0.23174892539517322, 0.216180659402617, 0.22268804771906003]"
25,0.05,0.7,0.0,"[0.2772742531273148, 0.32190568998761937, 0.3123921611704832, 0.3604841320267258, 0.28432452022367644, 0.3854214129100765, 0.32449326618213525, 0.3298155713307897, 0.3351085015393436, 0.3312068322587892]","[0.2647690190021396, 0.2937255494171441, 0.2934866634250449, 0.31000225027886313, 0.27770720232476676, 0.3475313233163379, 0.2440853708455724, 0.32592955474970103, 0.3244735717408965, 0.2944241395535036]"
